"section","metric","value","month","n","mean","sd","se","median","min","max","analysis","test","W","p_value","df1","df2","F","note","comparison","mean_difference","lower_95_ci","upper_95_ci","p_adjusted"
"data_summary","source_file","data_HF.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_summary","n_records","123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_summary","months_compared","March; April; May; June; July; August; September; October; November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"March",1,0.416666667,NA,NA,0.416666667,0.416666667,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"April",42,1.3938953787619,2.75249471782466,0.424719155713307,0.4,0.028571429,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"May",31,0.822311828,1.21960715267569,0.219047911010333,0.4,0.066666667,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"June",3,0.344444444666667,0.226895309330749,0.130998067919971,0.266666667,0.166666667,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"July",11,0.895454545454546,0.973769619944714,0.293602587418509,0.6,0.2,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"August",11,0.304545454545455,0.222840365026291,0.0671888980852766,0.2,0.033333333,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"September",22,1.11136362118182,1.65762731320998,0.353407330626994,0.4,0.066666667,6.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"October",1,0.2,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"November",1,0.4,NA,NA,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","Shapiro-Wilk test on ANOVA residuals",0.575744517905273,2.92537246754496e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","Median-centered Levene test",NA,0.802868968796887,8,114,0.56716962281708,NA,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density","Shapiro-Wilk test on ANOVA residuals",0.976364361596497,0.0293609397784798,NA,NA,NA,NA,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density","Median-centered Levene test",NA,0.404458619653778,8,114,1.04835466985569,NA,NA,NA,NA,NA,NA
"overall_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","One-way ANOVA",NA,0.829276718998269,8,114,0.533361998658385,NA,NA,NA,NA,NA,NA
"overall_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","Welch one-way ANOVA",NA,NA,NA,NA,NA,"not enough observations",NA,NA,NA,NA,NA
