"section","metric","value","month","n","mean","sd","se","median","min","max","analysis","test","W","p_value","df1","df2","F","comparison","mean_difference","lower_95_ci","upper_95_ci","p_adjusted"
"data_summary","source_file","data_HL.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_summary","n_records","406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_summary","months_compared","April; May; June; July; August; September; October; November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"April",118,4.06228813559322,8.1210731903131,0.74760538490968,1.325,0.05,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"May",89,2.83752808988764,6.42717548611485,0.681279238971058,0.8,0.1,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"June",34,3.21470588235294,8.86249887303292,1.51990601755222,0.715,0.1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"July",69,2.61971014492754,6.10014584469201,0.734371261460858,0.8,0.03,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"August",12,0.879166666666667,1.42283620940285,0.410737434255742,0.225,0.07,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"September",76,5.165,9.42403940286047,1.08101145781616,1.2,0.05,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"October",6,2.47166666666667,2.84556087031479,1.16169536071688,1.2,0.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descriptive_statistics",NA,NA,"November",2,2.1,2.68700576850888,1.9,2.1,0.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","Shapiro-Wilk test on ANOVA residuals",0.494986196514109,2.42475312670393e-32,NA,NA,NA,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","Median-centered Levene test",NA,0.444390906430024,7,398,0.98121737513532,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density","Shapiro-Wilk test on ANOVA residuals",0.988156441221979,0.0022141804476036,NA,NA,NA,NA,NA,NA,NA,NA
"assumption_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density","Median-centered Levene test",NA,0.332824165368628,7,398,1.1467896314426,NA,NA,NA,NA,NA
"overall_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","One-way ANOVA",NA,0.385267540933262,7,398,1.06504690757168,NA,NA,NA,NA,NA
"overall_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density","Welch one-way ANOVA",NA,0.0314044192066601,7,16.9818794948554,2.97480295800264,NA,NA,NA,NA,NA
"overall_tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Log-transformed total tick density","One-way ANOVA",NA,0.0174536010719034,7,398,2.46413334981136,NA,NA,NA,NA,NA
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"May-April",-1.22476004570558,-4.49129688519731,2.04177679378616,0.94696459038714
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"June-April",-0.847582253240269,-5.37634663805493,3.68118213157439,0.999187025456872
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"July-April",-1.44257799066567,-4.96867006839428,2.08351408706293,0.91730092498489
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"August-April",-3.18312146892655,-10.2329482169452,3.86670527909209,0.867851473608287
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"September-April",1.10271186440679,-2.31937839325785,4.52480212207143,0.976810718163023
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"October-April",-1.59062146892655,-11.3277882420994,8.14654530424631,0.999668062567981
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"November-April",-1.96228813559322,-18.5533054381757,14.6287291669893,0.999962257974463
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"June-May",0.377177792465307,-4.31372559662397,5.06808118155458,0.999997333241886
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"July-May",-0.217817944960099,-3.94986739442135,3.51423150450115,0.999999710863897
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"August-May",-1.95836142322098,-9.11342431111251,5.19670146467055,0.991075987325709
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"September-May",2.32747191011237,-1.30647490900963,5.96141872923436,0.51616744160265
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"October-May",-0.365861423220976,-10.1794889136643,9.44776606722236,0.999999987279296
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"November-May",-0.737528089887646,-17.3735349090494,15.8984787292741,0.999999957392261
"tukey_hsd_posthoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raw total tick density",NA,NA,NA,NA,NA,NA,"July-June",-0.594995737425406,-5.4702020943536,4.28021061950279,0.999953274173476
