species,longitude,latitude
Hf,119.36,31.76
Hf,119.1513,33.4971
Hf,119.0344,31.6573
Hf,120.89,31.98
Hf,120.45,32.55
Hf,121.6324,31.7736
Hf,121.6649,31.7978
Hf,120.56,32.38
Hf,121.073,32.06
Hf,120.39,31.34
Hf,120.34,31.32
Hf,120.489,31.2998
Hf,120.5427,31.2178
Hf,118.31,34.03
Hf,118.29,33.47
Hf,118.4,33.95
Hf,119.93,32.47
Hf,120.34,32.87
Hf,120.22,33.43
Hf,120.11,33.32
Hf,119.3144,33.1517
Hf,119.3779,33.3117
Hf,119.57,33.1
Hf,119.43,32.77
Hf,119.51,32.43
Hf,119.5,32.38
Hf,119.5528,32.4282
Hf,119.6406,32.4655
Hf,119.4,32.13
Hf,119.29,31.81
Hf,119.2,31.75
Hf,119.46,32.15
Hf,119.72,32.22
