species,longitude,latitude
Hl,119.30783,31.75997
Hl,119.36895,31.69921
Hl,119.36,31.76
Hl,119.34,31.72
Hl,119.39,31.72
Hl,119.35,31.82
Hl,119.52,31.2
Hl,119.34,31.65
Hl,118.3223,32.8127
Hl,118.4253,32.88
Hl,118.4859,32.7296
Hl,118.58,32.73
Hl,118.6,32.8
Hl,118.5208,33.0018
Hl,118.60292,34.66857
Hl,119.21318,34.38783
Hl,118.71,31.77
Hl,119.0344,31.657284
Hl,119.18,31.58
Hl,118.54,32.18
Hl,118.97,32.43
Hl,120.39,31.34
Hl,120.489,31.2998
Hl,120.4554,31.0945
Hl,119.12552,34.56449
Hl,118.26288,33.95871
Hl,120.21,32.09
Hl,119.87,32.94
Hl,120.3243,31.9343
Hl,119.763,31.263
Hl,119.707,31.316
Hl,119.675,31.242
Hl,117.49,34.44
Hl,117.63,34.49
Hl,119.5711,34.1843
Hl,119.57,32.73
Hl,119.35,32.46
Hl,119.09,32.26
Hl,119.06,32.32
Hl,119.31,32.6
Hl,119.53,32.11
Hl,119.23,32
Hl,119.4,32.13
Hl,119.75,32.07
Hl,119.14,32.4
Hl,119.2,31.75
Hl,119.45,32.17
Hl,119.77,32.29
Hl,120.85,32.65
Hl,119.83,34.38
