"rm","fc","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
0.5,"L","rm.0.5_fc.L",0.699154545454545,0.89,0.200649811682134,0.152489903749715,0.605970482879787,0.201453304485873,0.396,0.182023807966614,0.34375,0.425428705347128,0.125,0.144337567297406,776.622205185581,9.70695913236761,0.00293986705584752,6
1,"L","rm.1_fc.L",0.700425757575758,0.867,0.184859112000173,0.128424150585747,0.618126597769224,0.18336621835507,0.39625,0.174245755567627,0.28125,0.328744454959573,0.125,0.144337567297406,773.911234188173,6.99598813495868,0.0114026964705241,5
1.5,"L","rm.1.5_fc.L",0.701277272727273,0.863,0.162812298061711,0.101157981264887,0.63922255697815,0.165129671343504,0.423,0.0981868966138897,0.09375,0.119678388469542,0.0625,0.125,774.26053081128,7.34528475806565,0.00957544058760805,5
2,"L","rm.2_fc.L",0.701834848484848,0.842,0.140245044700253,0.0753918071673911,0.664110369068645,0.144059485226394,0.296,0.185919337348217,0.0625,0.125,0.0625,0.125,774.722050751415,7.80680469820152,0.00760222964274358,5
2.5,"L","rm.2.5_fc.L",0.702274242424242,0.829,0.129833234417192,0.0541876586067943,0.679937092947749,0.130665469459805,0.33525,0.215148592062943,0.0625,0.125,0.03125,0.0625,775.29475668268,8.37951062946627,0.00570925540180832,5
3,"L","rm.3_fc.L",0.702243939393939,0.847,0.114626955865786,0.051504590169526,0.692200115075434,0.117124612954722,0.417,0.133783407042877,0.03125,0.0625,0,0,775.975340955939,9.0600949027247,0.00406249158411055,5
3.5,"L","rm.3.5_fc.L",0.701240909090909,0.842,0.10114361214085,0.0757606603357394,0.707694454435311,0.113876070330112,0.402,0.117194994204815,0,0,0,0,776.762257075717,9.84701102250347,0.00274104275675425,5
4,"L","rm.4_fc.L",0.700322727272727,0.869,0.116803317690992,0.0606391154254262,0.713099567064961,0.117533817036513,0.3345,0.168626806884315,0,0,0,0,772.123748336999,5.20850228378561,0.0278711690045164,3
0.5,"LQ","rm.0.5_fc.LQ",0.744433333333333,0.671,0.209959951938797,0.0923510340887028,0.61760045881599,0.172882761153787,0.36725,0.263971431535056,0.25,0.306186217847897,0.1875,0.21650635094611,778.688141175367,11.7728951221527,0.00104644255231869,9
1,"LQ","rm.1_fc.LQ",0.715380303030303,0.814,0.188738201763994,0.121415251928683,0.62127093170633,0.177034347765937,0.3255,0.179654297657102,0.25,0.306186217847897,0.1875,0.21650635094611,774.905635009827,7.99038895661351,0.00693547433789668,6
1.5,"LQ","rm.1.5_fc.LQ",0.704707575757576,0.833,0.169544965717956,0.12029577146621,0.628307935553171,0.168011063630338,0.34825,0.1968660712261,0.1875,0.21650635094611,0.125,0.176776695296637,780.151318469958,13.2360724167439,0.000503489570540573,7
2,"LQ","rm.2_fc.LQ",0.702689393939394,0.774,0.146147938016029,0.0870050286356538,0.654407248597313,0.148956288938505,0.32825,0.331124724738781,0.0625,0.125,0.0625,0.125,774.936946333617,8.02170028040325,0.00682774041993319,5
2.5,"LQ","rm.2.5_fc.LQ",0.702543939393939,0.778,0.132578372530346,0.0641717442126565,0.671926291203255,0.134551256013408,0.312,0.236985231607373,0.0625,0.125,0.03125,0.0625,775.758761836547,8.8435157833328,0.00452712027172978,5
3,"LQ","rm.3_fc.LQ",0.701751515151515,0.84,0.127968430073717,0.0518608073730143,0.683447713944546,0.128502969774146,0.36275,0.202320496572476,0.03125,0.0625,0.03125,0.0625,773.940148544001,7.02490249078699,0.0112390315758224,4
3.5,"LQ","rm.3.5_fc.LQ",0.700262121212121,0.902,0.114442057947451,0.0516997123736369,0.692750555427716,0.116799230690143,0.43575,0.14868843263684,0.03125,0.0625,0,0,772.346023873936,5.43077782072169,0.0249395529993921,3
4,"LQ","rm.4_fc.LQ",0.699631818181818,0.887,0.102746076162023,0.0719125141646154,0.705532656108261,0.113588635066727,0.414,0.110968463988649,0,0,0,0,770.286719571063,3.37147351784893,0.0698330342932515,2
0.5,"LQH","rm.0.5_fc.LQH",0.8332,0.779,0.200997695212827,0.0983072697650123,0.667731110332972,0.108059194666126,0.482,0.190894386158071,0.375,0.270030862433661,0.25,0.228217732293819,1179.04688959371,412.131643540492,1.21036897077261e-90,28
1,"LQH","rm.1_fc.LQH",0.808142424242424,0.764,0.191143341854474,0.16921165001467,0.627595554967005,0.168969207294104,0.45025,0.18809106836849,0.40625,0.413004741699979,0.1875,0.161374306091976,829.166174706718,62.2509286535042,1.14432577822641e-14,19
1.5,"LQH","rm.1.5_fc.LQH",0.791642424242424,0.732,0.193647324119374,0.150255207737545,0.632572168136649,0.170866499065015,0.4475,0.243675330443331,0.375,0.367990036096994,0.1875,0.161374306091976,800.000087310984,33.0848412577699,2.46538692691219e-08,15
2,"LQH","rm.2_fc.LQH",0.771275757575758,0.799,0.188275652699731,0.140469088070159,0.632175070544152,0.167676630225425,0.3165,0.2637707337822,0.28125,0.277169472826043,0.1875,0.161374306091976,789.170355428095,22.2551093748807,5.54027710773098e-06,12
2.5,"LQH","rm.2.5_fc.LQH",0.748881818181818,0.738,0.18160260656061,0.118963271498219,0.642963370734121,0.153298380008717,0.29725,0.201726506273552,0.21875,0.1875,0.125,0.176776695296637,774.275425499909,7.36017944669493,0.00950439386765205,7
3,"LQH","rm.3_fc.LQH",0.725856060606061,0.762,0.158682207810421,0.102362304007639,0.654449595087106,0.135389054581867,0.22975,0.294453590004718,0.125,0.176776695296637,0.09375,0.1875,778.935324023009,12.0200779697947,0.00092478402290405,7
3.5,"LQH","rm.3.5_fc.LQH",0.711048484848485,0.817,0.134779202663224,0.0691302183899875,0.660915712553417,0.115145740624584,0.2265,0.351002848991287,0.0625,0.125,0.0625,0.125,773.014709877338,6.0994638241242,0.0178519369572618,4
4,"LQH","rm.4_fc.LQH",0.700236363636364,0.884,0.106231364392607,0.0538838352921738,0.684734767797612,0.0963513465811095,0.218,0.367919375225968,0,0,0,0,775.262771036463,8.34752498324929,0.00580129655066177,4
