sampling time,larva,post_larva,total,drag distance_100meter,tick_density_larva,tick_density_post_larva,tick_density_total
2020/4/21,0,8,9,1,0,8,9
2020/4/21,0,0,1,1,0,0,1
2020/4/28,0,13,14,1,0,13,14
2020/9/20,0,2,2,5,0,0.4,0.4
2021/4/13,0,12,12,2.5,0,4.8,4.8
2021/4/15,0,17,20,2.62,0,6.488549618,7.633587786
2021/4/17,0,5,5,5.19,0,0.963391137,0.963391137
2021/5/24,0,1,1,6,0,0.166666667,0.166666667
2021/9/26,0,0,2,5,0,0,0.4
2022/4/9,5,0,5,35,0.142857143,0,0.142857143
2022/4/9,2,0,2,35,0.057142857,0,0.057142857
2022/4/9,1,0,1,35,0.028571429,0,0.028571429
2022/4/22,0,4,5,15,0,0.266666667,0.333333333
2022/5/13,0,1,1,15,0,0.0666666666666667,0.066666667
2022/5/26,0,13,14,10,0,1.3,1.4
2022/5/27,0,4,5,5,0,0.8,1
2022/5/27,0,2,2,5,0,0.4,0.4
2022/5/31,0,7,7,10,0,0.7,0.7
2022/7/12,1,0,2,5,0.2,0,0.4
2022/9/13,38,0,38,6,6.333333,0,6.333333
2022/9/27,2,3,5,24,0.083333333,0.125,0.208333333
2023/3/31,1,21,25,60,0.016666667,0.35,0.416666667
2023/4/3,0,18,18,5,0,3.6,3.6
2023/4/3,0,3,4,5,0,0.6,0.8
2023/4/7,0,15,17,60,0,0.25,0.283333333
2023/4/10,0,0,2,15,0,0,0.133333333
2023/4/11,6,0,6,36,0.166666667,0,0.166666667
2023/4/11,1,0,1,30,0.033333333,0,0.033333333
2023/4/12,1,0,5,12,0.083333333,0,0.416666667
2023/4/12,0,5,6,5,0,1,1.2
2023/4/12,0,5,5,9,0,0.555555556,0.555555556
2023/4/12,0,4,4,5,0,0.8,0.8
2023/4/12,0,3,3,5,0,0.6,0.6
2023/4/12,0,2,2,5,0,0.4,0.4
2023/4/12,0,0,5,12,0,0,0.416666667
2023/4/14,3,0,3,30,0.1,0,0.1
2023/4/14,3,0,3,30,0.1,0,0.1
2023/4/14,0,11,11,5,0,2.2,2.2
2023/4/14,0,2,2,5,0,0.4,0.4
2023/4/14,0,0,1,5,0,0,0.2
2023/4/14,0,0,1,5,0,0,0.2
2023/4/18,0,6,6,32,0,0.1875,0.1875
2023/4/18,0,5,5,5,0,1,1
2023/4/19,0,2,2,30,0,0.066666667,0.066666667
2023/4/19,0,2,2,5,0,0.4,0.4
2023/4/19,0,2,2,5,0,0.4,0.4
2023/5/8,0,30,33,90,0,0.333333333,0.366666667
2023/5/8,0,8,12,60,0,0.133333333,0.2
2023/5/9,0,8,12,45,0,0.177777778,0.266666667
2023/5/10,0,3,3,30,0,0.1,0.1
2023/5/11,0,16,21,22.5,0,0.711111111,0.933333333
2023/5/11,0,6,8,20,0,0.3,0.4
2023/5/12,0,17,25,120,0,0.141666667,0.208333333
2023/5/12,0,2,2,8,0,0.25,0.25
2023/5/12,0,1,1,5,0,0.2,0.2
2023/5/16,0,1,1,5,0,0.2,0.2
2023/5/17,0,3,3,5,0,0.6,0.6
2023/5/19,0,25,25,4,0,6.25,6.25
2023/5/19,0,4,4,8,0,0.5,0.5
2023/5/23,0,9,9,5,0,1.8,1.8
2023/5/25,0,0,1,5,0,0,0.2
2023/6/9,0,5,5,30,0,0.166666667,0.166666667
2023/7/5,16,10,30,30,0.533333333,0.333333333,1
2023/7/6,5,0,5,5,1,0,1
2023/7/6,2,0,2,5,0.4,0,0.4
2023/7/13,0,0,1,5,0,0,0.2
2023/7/14,64,0,69,20,3.2,0,3.45
2023/8/7,0,2,2,5,0,0.4,0.4
2023/8/7,0,0,1,5,0,0,0.2
2023/8/7,0,0,2,5,0,0,0.4
2023/8/9,0,2,2,30,0,0.066666667,0.066666667
2023/8/9,0,1,1,30,0,0.033333333,0.033333333
2023/9/6,0,7,7,30,0,0.233333333,0.233333333
2023/9/6,0,3,3,30,0,0.1,0.1
2023/9/6,0,2,2,30,0,0.066666667,0.066666667
2023/9/7,2,0,3,8,0.25,0,0.375
2023/9/7,1,0,2,5,0.2,0,0.4
2023/9/7,1,0,2,5,0.2,0,0.4
2023/9/7,1,0,1,5,0.2,0,0.2
2023/9/8,0,2,2,5,0,0.4,0.4
2023/9/14,0,4,5,15,0,0.266666667,0.333333333
2023/9/18,13,0,13,5,2.6,0,2.6
2023/9/26,41,10,51,15,2.733333333,0.666666667,3.4
2023/9/27,0,1,1,5,0,0.2,0.2
2023/10/16,0,1,1,5,0,0.2,0.2
2023/11/10,0,2,2,5,0,0.4,0.4
2024/4/10,0,22,22,30,0,0.733333333,0.733333333
2024/4/10,0,14,14,30,0,0.466666667,0.466666667
2024/4/11,0,11,11,5,0,2.2,2.2
2024/4/11,0,7,8,5,0,1.4,1.6
2024/4/11,0,0,1,5,0,0,0.2
2024/4/15,0,1,2,5,0,0.2,0.4
2024/4/16,0,0,1,5,0,0,0.2
2024/4/18,0,0,1,8,0,0,0.125
2024/5/7,0,0,1,6,0,0,0.166666667
2024/5/8,0,16,16,5,0,3.2,3.2
2024/5/9,0,6,8,5,0,1.2,1.6
2024/5/9,0,4,9,5,0,0.8,1.8
2024/5/9,0,3,3,5,0,0.6,0.6
2024/5/9,0,3,3,5,0,0.6,0.6
2024/5/14,8,1,9,60,0.133333333,0.016666667,0.15
2024/5/14,0,5,5,30,0,0.166666667,0.166666667
2024/5/23,0,3,4,5,0,0.6,0.8
2024/5/24,0,1,1,5,0,0.2,0.2
2024/6/6,0,3,3,5,0,0.6,0.6
2024/6/18,0,2,2,7.5,0,0.266666667,0.266666667
2024/7/4,0,9,9,5,0,1.8,1.8
2024/7/4,0,3,3,5,0,0.6,0.6
2024/7/4,0,3,3,5,0,0.6,0.6
2024/7/4,0,1,1,5,0,0.2,0.2
2024/7/22,0,1,1,5,0,0.2,0.2
2024/8/8,3,0,3,5,0.6,0,0.6
2024/8/8,3,0,3,5,0.6,0,0.6
2024/8/8,3,0,3,5,0.6,0,0.6
2024/8/8,0,1,1,5,0,0.2,0.2
2024/8/9,0,1,1,8,0,0.125,0.125
2024/8/9,0,1,1,8,0,0.125,0.125
2024/9/13,1,3,4,10,0.1,0.3,0.4
2024/9/13,0,4,4,10,0,0.4,0.4
2024/9/14,18,1,19,5,3.6,0.2,3.8
2024/9/14,16,0,16,5,3.2,0,3.2
2024/9/14,2,0,2,5,0.4,0,0.4
