sampling time,larva,post_larva,total,drag distance_100meter,tick_density_larva,tick_density_post_larva,tick_density_total
2019/4/9,0,0,1,5,0.00 ,0.00 ,0.20 
2019/4/12,0,0,7,5,0.00 ,0.00 ,1.40 
2019/4/18,0,22,22,10,0.00 ,2.20 ,2.20 
2019/4/23,0,4,4,5,0.00 ,0.80 ,0.80 
2019/4/23,0,3,3,5,0.00 ,0.60 ,0.60 
2019/6/11,0,1,2,10,0.00 ,0.10 ,0.20 
2019/6/12,0,1,1,5,0.00 ,0.20 ,0.20 
2019/6/13,0,0,1,5,0.00 ,0.00 ,0.20 
2019/6/19,0,17,19,5,0.00 ,3.40 ,3.80 
2019/6/19,0,0,1,1,0.00 ,0.00 ,1.00 
2019/9/17,14,0,14,5,2.80 ,0.00 ,2.80 
2019/9/17,2,2,4,5,0.40 ,0.40 ,0.80 
2019/9/25,10,1,11,5,2.00 ,0.20 ,2.20 
2019/9/26,12,1,13,5,2.40 ,0.20 ,2.60 
2020/4/9,0,1,1,5,0.00 ,0.20 ,0.20 
2020/4/10,0,6,6,10,0.00 ,0.60 ,0.60 
2020/4/10,0,3,3,5,0.00 ,0.60 ,0.60 
2020/4/14,0,68,68,5.1,0.00 ,13.33 ,13.33 
2020/4/14,0,19,19,5,0.00 ,3.80 ,3.80 
2020/4/14,0,12,12,5,0.00 ,2.40 ,2.40 
2020/4/14,0,7,7,5,0.00 ,1.40 ,1.40 
2020/4/14,0,6,6,5.1,0.00 ,1.18 ,1.18 
2020/4/14,0,5,5,5,0.00 ,1.00 ,1.00 
2020/4/15,0,14,14,5,0.00 ,2.80 ,2.80 
2020/4/15,1,2,3,5.62,0.18 ,0.36 ,0.53 
2020/4/16,0,25,25,5,0.00 ,5.00 ,5.00 
2020/4/21,0,50,50,5,0.00 ,10.00 ,10.00 
2020/4/22,10,44,76,1,10.00 ,44.00 ,76.00 
2020/4/22,0,47,47,5,0.00 ,9.40 ,9.40 
